code,from,to,Fr,Nl
8623,2016-10-01,,desmopressine nasal 10 µg / 1 dos.,desmopressine nasaal 10 µg / 1 dos.
8656,2016-10-01,,desmopressine injection 4 µg / 1 ml,desmopressine injectie 4 µg / 1 ml
8672,,,,
8698,2016-10-01,,dexaméthasone collyre ophtalmique 1 mg / 1 ml,dexamethason druppels oculair 1 mg / 1 ml
23911,2016-10-01,,ondansétron injection/perfusion 4 mg / 2 ml,ondansetron injectie/infusie 4 mg / 2 ml
24190,2016-10-01,,oxycodone + naloxone oral (libér. modifiée) 10 mg + 5 mg,oxycodon + naloxon oraal (gereg. afgifte) 10 mg + 5 mg
8300,2016-10-01,,darunavir oral 100 mg / 1 ml,darunavir oraal 100 mg / 1 ml
8318,2016-10-01,,darunavir oral 150 mg,darunavir oraal 150 mg
9241,2016-10-01,2017-07-23,anatoxine diphtérique + anatoxine tétanique injection,difterie-anatoxine + tetanus-anatoxine injectie
9662,2016-10-01,,docétaxel perfusion 80 mg / 4 ml,docetaxel infusie 80 mg / 4 ml
9548,2016-10-01,2017-06-12,dipyridamole oral (libér. modifiée) 200 mg,dipyridamol oraal (gereg. afgifte) 200 mg
7534,2016-10-01,,"codéine oral 3,7 mg / 5 ml","codeïne oraal 3,7 mg / 5 ml"
8797,2016-10-01,,dexaméthasone phosphate sodique + gentamicine sulfate collyre ophtalmique 1 mg + 5 mg / 1 ml,dexamethason natriumfosfaat + gentamicine sulfaat druppels oculair 1 mg + 5 mg / 1 ml
8870,2016-10-01,,dextrométhorphane oral 10 mg / 5 ml,dextromethorfan oraal 10 mg / 5 ml
9175,2016-10-01,,diphenhydramine oral 50 mg,difenhydramine oraal 50 mg
8433,2016-10-01,2017-12-21,déférasirox oral 125 mg,deferasirox oraal 125 mg
8755,2016-10-01,,dexaméthasone injection/instillation/rectal 5 mg / 1 ml,dexamethason injectie/instillatie/rectaal 5 mg / 1 ml
8821,2016-10-01,,dexmédétomidine perfusion 1 mg / 10 ml,dexmedetomidine infusie 1 mg / 10 ml
8839,2016-10-01,,dexmédétomidine perfusion 200 µg / 2 ml,dexmedetomidine infusie 200 µg / 2 ml
8854,2016-10-01,,dexrazoxane perfusion 500 mg,dexrazoxan infusie 500 mg
8888,2016-10-01,,dextrométhorphane oral 10 mg,dextromethorfan oraal 10 mg
8912,2016-10-01,,dextrométhorphane oral 5 mg / 5 ml,dextromethorfan oraal 5 mg / 5 ml
8920,2016-10-01,,"dextrométhorphane oral 6,65 mg / 5 ml","dextromethorfan oraal 6,65 mg / 5 ml"
8938,2016-10-01,,"dextrométhorphane oral 7,5 mg / 5 ml","dextromethorfan oraal 7,5 mg / 5 ml"
8995,2016-10-01,,diclofénac oral (libér. modifiée) 100 mg,diclofenac oraal (gereg. afgifte) 100 mg
9001,2016-10-01,,diclofénac rectal 100 mg,diclofenac rectaal 100 mg
9068,2016-10-01,2018-06-04,diclofénac injection 75 mg / 3 ml,diclofenac injectie 75 mg / 3 ml
9191,2016-10-01,,diphenhydramine chlorhydrate émulsion cutané 20 mg / 1 g,difenhydramine hydrochloride emulsie cutaan 20 mg / 1 g
9258,2016-10-01,,"digoxine oral 0,05 mg / 1 ml","digoxine oraal 0,05 mg / 1 ml"
9274,2016-10-01,,"digoxine oral 0,25 mg","digoxine oraal 0,25 mg"
9282,2016-10-01,,"digoxine injection 0,5 mg / 2 ml","digoxine injectie 0,5 mg / 2 ml"
9308,2016-10-01,,dihydrocodéine oral 12 mg / 5 ml,dihydrocodeïne oraal 12 mg / 5 ml
9316,2016-10-01,2018-02-26,"dihydroergotamine nasal 0,5 mg / 1 dos.","dihydro-ergotamine nasaal 0,5 mg / 1 dos."
9340,2016-10-01,,diltiazem oral (libér. modifiée) 200 mg,diltiazem oraal (gereg. afgifte) 200 mg
9373,2016-10-01,,diltiazem oral (libér. modifiée) 300 mg,diltiazem oraal (gereg. afgifte) 300 mg
9407,2016-10-01,,diménhydrinate oral 50 mg,dimenhydrinaat oraal 50 mg
9415,2016-10-01,,"dimétindène + phényléphrine nasal 0,25 mg + 2,5 mg / 1 ml","dimetindeen + fenylefrine nasaal 0,25 mg + 2,5 mg / 1 ml"
9449,2016-10-01,,"dinoprostone endocervical 0,5 mg / 3 g","dinoproston endocervicaal 0,5 mg / 3 g"
9456,2016-10-01,,"dinoprostone oral 0,5 mg","dinoproston oraal 0,5 mg"
9472,2016-10-01,,dinoprostone vaginal 10 mg,dinoproston vaginaal 10 mg
9480,2016-10-01,,dinoprostone vaginal 3 mg,dinoproston vaginaal 3 mg
9498,2016-10-01,,"dinoprostone perfusion 5 mg / 0,5 ml","dinoproston infusie 5 mg / 0,5 ml"
9514,2016-10-01,,diosmine + flavonoïdes oral 450 mg + 50 mg,diosmine + flavonoïden oraal 450 mg + 50 mg
9894,2016-10-01,,doxorubicine perfusion/instillation 10 mg / 5 ml,doxorubicine infusie/instillatie 10 mg / 5 ml
9910,2016-10-01,,doxorubicine perfusion/instillation 200 mg / 100 ml,doxorubicine infusie/instillatie 200 mg / 100 ml
9944,2016-10-01,,doxorubicine perfusion 50 mg / 25 ml,doxorubicine infusie 50 mg / 25 ml
9951,2016-10-01,,doxorubicine perfusion 50 mg,doxorubicine infusie 50 mg
9969,,,,
24679,2016-10-01,,papavérine injection 100 mg / 3 ml,papaverine injectie 100 mg / 3 ml
9126,2016-10-01,2017-12-21,didanosine oral 200 mg,didanosine oraal 200 mg
9134,2016-10-01,2017-12-21,didanosine oral 250 mg,didanosine oraal 250 mg
10710,2016-10-01,,"époétine alfa injection 4 000 UI / 0,4 ml","epoëtine alfa injectie 4 000 IE / 0,4 ml"
10728,2016-10-01,,"époétine alfa injection 5 000 UI / 0,5 ml","epoëtine alfa injectie 5 000 IE / 0,5 ml"
10694,2016-10-01,,"époétine alfa injection 3 000 UI / 0,3 ml","epoëtine alfa injectie 3 000 IE / 0,3 ml"
9522,2016-10-01,,dipyridamole oral 150 mg,dipyridamol oraal 150 mg
9555,2016-10-01,2017-06-12,dipyridamole perfusion 50 mg / 10 ml,dipyridamol infusie 50 mg / 10 ml
9571,2016-10-01,,disopyramide oral 100 mg,disopyramide oraal 100 mg
9605,2016-10-01,,dobutamine perfusion 250 mg / 20 ml,dobutamine infusie 250 mg / 20 ml
9613,2016-10-01,,docétaxel perfusion 140 mg / 7 ml,docetaxel infusie 140 mg / 7 ml
9639,2016-10-01,,docétaxel perfusion 160 mg / 8 ml,docetaxel infusie 160 mg / 8 ml
24299,2016-10-01,,"oxycodone + naloxone oral (libér. modifiée) 5 mg + 2,5 mg","oxycodon + naloxon oraal (gereg. afgifte) 5 mg + 2,5 mg"
9704,2016-10-01,,docusate rectal 120 mg / 10 g,docusaat rectaal 120 mg / 10 g
9738,2016-10-01,,dompéridone oral 10 mg [CAVE solide/liq.],domperidon oraal 10 mg [CAVE vast/vloeib.]
9746,2016-10-01,,dompéridone oral 1 mg / 1 ml,domperidon oraal 1 mg / 1 ml
9761,2016-10-01,,dompéridone oral 5 mg / 5 ml,domperidon oraal 5 mg / 5 ml
5579,2016-10-01,,céfazoline injection/perfusion 1 g,cefazoline injectie/infusie 1 g
9787,,,,
19455,2016-10-01,,lidocaïne emplâtre médicamenteux cutané 700 mg / 140 cm²,lidocaïne pleister cutaan 700 mg / 140 cm²
24315,2016-10-01,,oxycodone oral (libér. modifiée) 5 mg,oxycodon oraal (gereg. afgifte) 5 mg
9837,2016-10-01,,dosulépine oral 25 mg,dosulepine oraal 25 mg
24323,2016-10-01,,oxycodone oral (libér. modifiée) 80 mg,oxycodon oraal (gereg. afgifte) 80 mg
9845,2016-10-01,,dosulépine oral 75 mg,dosulepine oraal 75 mg
9860,2016-10-01,2017-07-23,doxépine oral 25 mg,doxepine oraal 25 mg
9878,2016-10-01,2017-09-18,doxépine oral 50 mg,doxepine oraal 50 mg
9977,,,,
10066,2016-10-01,,dydrogestérone oral 10 mg,dydrogesteron oraal 10 mg
10074,2016-10-01,,"d-α-tocophérol oral 134,2 mg","d-α-tocoferol oraal 134,2 mg"
10124,2016-10-01,,éculizumab perfusion 300 mg / 30 ml,eculizumab infusie 300 mg / 30 ml
25106,2016-10-01,2018-03-29,"interféron alfa-2a injection 135 µg / 0,5 ml","interferon alfa-2a injectie 135 µg / 0,5 ml"
10165,2016-10-01,,éphédrine injection 10 mg / 1 ml,efedrine injectie 10 mg / 1 ml
10173,2016-10-01,,éphédrine injection 30 mg / 10 ml,efedrine injectie 30 mg / 10 ml
10215,2016-10-01,,éflornithine crème cutané 115 mg / 1 g,eflornithine crème cutaan 115 mg / 1 g
10264,2016-10-01,,emtricitabine oral 200 mg,emtricitabine oraal 200 mg
10272,2016-10-01,,emtricitabine + rilpivirine + ténofovir oral 200 mg + 25 mg + 245 mg,emtricitabine + rilpivirine + tenofovir oraal 200 mg + 25 mg + 245 mg
10298,2016-10-01,,énalapril + lercanidipine oral 10 mg + 10 mg,enalapril + lercanidipine oraal 10 mg + 10 mg
10306,2016-10-01,,"énalapril + hydrochlorothiazide oral 20 mg + 12,5 mg","enalapril + hydrochloorthiazide oraal 20 mg + 12,5 mg"
10322,2016-10-01,,énalapril oral 20 mg,enalapril oraal 20 mg
10330,2016-10-01,,énalapril oral 5 mg,enalapril oraal 5 mg
10348,2016-10-01,,enfuvirtide injection 108 mg,enfuvirtide injectie 108 mg
10355,,,,
10371,,,,
10389,,,,
10405,,,,
10595,2016-10-01,2017-06-12,épirubicine perfusion/instillation 20 mg / 10 ml,epirubicine infusie/instillatie 20 mg / 10 ml
10603,2016-10-01,,épirubicine perfusion/instillation 50 mg / 25 ml,epirubicine infusie/instillatie 50 mg / 25 ml
10660,2016-10-01,,"époétine alfa injection 2 000 UI / 0,5 ml","epoëtine alfa injectie 2 000 IE / 0,5 ml"
24737,2016-10-01,,paracétamol perfusion 1 g / 100 ml,paracetamol infusie 1 g / 100 ml
10017,2016-10-01,,duloxétine oral 30 mg,duloxetine oraal 30 mg
10025,2016-10-01,,duloxétine oral 40 mg,duloxetine oraal 40 mg
11528,2016-10-01,,étanercept injection 25 mg,etanercept injectie 25 mg
10884,2016-10-01,,"époétine zêta injection 3 000 UI / 0,9 ml","epoëtine zèta injectie 3 000 IE / 0,9 ml"
10868,2016-10-01,,"époétine zêta injection 2 000 UI / 0,6 ml","epoëtine zèta injectie 2 000 IE / 0,6 ml"
10892,2016-10-01,,époétine zêta injection 40 000 UI / 1 ml,epoëtine zèta injectie 40 000 IE / 1 ml
10918,2016-10-01,,"époétine zêta injection 5 000 UI / 0,5 ml","epoëtine zèta injectie 5 000 IE / 0,5 ml"
2857,,,,
24273,2016-10-01,,oxycodone oral (libér. modifiée) 40 mg,oxycodon oraal (gereg. afgifte) 40 mg
19802,2016-10-01,,lorazépam oral 1 mg [CAVE séc.],lorazepam oraal 1 mg [CAVE deelb.]
10926,2016-10-01,,"époétine zêta injection 6 000 UI / 0,6 ml","epoëtine zèta injectie 6 000 IE / 0,6 ml"
10934,2016-10-01,,"époétine zêta injection 8 000 UI / 0,8 ml","epoëtine zèta injectie 8 000 IE / 0,8 ml"
10769,2016-10-01,,"époétine bêta injection 2 000 UI / 0,3 ml","epoëtine bèta injectie 2 000 IE / 0,3 ml"
11007,2016-10-01,,eptacog alfa injection 50 000 UI,eptacog alfa injectie 50 000 IE
11379,2016-10-01,,estradiol + noréthistérone oral 2 mg + 1 mg,estradiol + norethisteron oraal 2 mg + 1 mg
10819,2016-10-01,,"époétine bêta injection 500 UI / 0,3 ml","epoëtine bèta injectie 500 IE / 0,3 ml"
10504,2016-10-01,,"épinéphrine injection 0,4 mg / 1 ml","epinefrine injectie 0,4 mg / 1 ml"
10041,2016-10-01,,"dutastéride oral 0,5 mg","dutasteride oraal 0,5 mg"
10058,2016-10-01,,"dutastéride + tamsulosine oral (libér. modifiée) 0,5 mg + 0,4 mg","dutasteride + tamsulosine oraal (gereg. afgifte) 0,5 mg + 0,4 mg"
10082,,,,
10090,,,,
10413,,,,
10439,2016-10-01,,entacapone oral 200 mg,entacapon oraal 200 mg
10447,2016-10-01,,"entécavir oral 0,5 mg","entecavir oraal 0,5 mg"
10454,2016-10-01,,entécavir oral 1 mg,entecavir oraal 1 mg
10470,2016-10-01,,"épinastine chlorhydrate collyre ophtalmique 0,5 mg / 1 ml","epinastine hydrochloride druppels oculair 0,5 mg / 1 ml"
10512,2016-10-01,,"épinéphrine injection 0,8 mg / 1 ml","epinefrine injectie 0,8 mg / 1 ml"
34850,2016-10-01,,diclofénac sodium emplâtre médicamenteux transdermique local 10 mg / 1 g,diclofenac natrium pleister transdermaal lokaal 10 mg / 1 g
35204,2016-10-01,,turoctocog alfa injection 2 000 UI,turoctocog alfa injectie 2 000 IE
35212,2016-10-01,,turoctocog alfa injection 250 UI,turoctocog alfa injectie 250 IE
10538,2016-10-01,,lidocaïne + épinéphrine injection 10 mg + 5 µg / 1 ml,lidocaïne + epinefrine injectie 10 mg + 5 µg / 1 ml
10959,2016-10-01,,"époprosténol perfusion 1,5 mg","epoprostenol infusie 1,5 mg"
10967,2016-10-01,,"éprosartan + hydrochlorothiazide oral 600 mg + 12,5 mg","eprosartan + hydrochloorthiazide oraal 600 mg + 12,5 mg"
10975,2016-10-01,,éprosartan oral 600 mg,eprosartan oraal 600 mg
10991,,,,
11023,2016-10-01,,eptifibatide injection 2 mg / 1 ml,eptifibatide injectie 2 mg / 1 ml
11031,2016-10-01,,erdostéine oral 300 mg,erdosteïne oraal 300 mg
11056,2016-10-01,,ergotamine + caféine rectal 2 mg + 100 mg,ergotamine + coffeïne rectaal 2 mg + 100 mg
11064,2016-10-01,,"éribuline injection 0,88 mg / 2 ml","eribuline injectie 0,88 mg / 2 ml"
11072,2016-10-01,,erlotinib oral 100 mg,erlotinib oraal 100 mg
11106,2016-10-01,,érythromycine perfusion 1 g,erythromycine infusie 1 g
11122,2016-10-01,,érythromycine oral 250 mg / 5 ml,erythromycine oraal 250 mg / 5 ml
11171,,,,
20065,2016-10-01,,maraviroc oral 150 mg,maraviroc oraal 150 mg
11270,2016-10-01,,estradiol dispositif transdermique 100 µg / 24 h,estradiol pleister transdermaal 100 µg / 24 u
11502,2016-10-01,,étamsylate oral 250 mg,etamsylaat oraal 250 mg
24752,2016-10-01,,paracétamol + acide acétylsalicylique + caféine oral 200 mg + 200 mg + 46 mg,paracetamol + acetylsalicylzuur + coffeïne oraal 200 mg + 200 mg + 46 mg
10843,2016-10-01,,"époétine zêta injection 1 000 UI / 0,3 ml","epoëtine zèta injectie 1 000 IE / 0,3 ml"
10850,2016-10-01,,"époétine zêta injection 20 000 UI / 0,5 ml","epoëtine zèta injectie 20 000 IE / 0,5 ml"
11320,2016-10-01,,"estradiol + noréthistérone oral 1 mg + 0,5 mg","estradiol + norethisteron oraal 1 mg + 0,5 mg"
12161,2016-10-01,,facteur VIII injection/perfusion 1 000 UI,factor VIII injectie/infusie 1 000 IE
12187,2016-10-01,2017-08-31,facteur VIII injection 500 UI,factor VIII injectie 500 IE
12195,2016-10-01,,facteur VIII injection/perfusion 500 UI,factor VIII injectie/infusie 500 IE
11569,2016-10-01,,"éthinylestradiol + drospirénone oral 0,02 mg + 3 mg","ethinylestradiol + drospirenon oraal 0,02 mg + 3 mg"
11361,2016-10-01,,estradiol + diénogest oral 2 mg + 2 mg,estradiol + diënogest oraal 2 mg + 2 mg
12393,2016-10-01,,fénofibrate oral 67 mg,fenofibraat oraal 67 mg
13979,2016-10-01,,furosémide oral 40 mg,furosemide oraal 40 mg
12039,2016-10-01,,extrait d'Escherichia coli oral 6 mg,extract van Escherichia coli oraal 6 mg
11668,2016-10-01,,"éthinylestradiol + gestodène oral 0,03 mg + 0,075 mg","ethinylestradiol + gestodeen oraal 0,03 mg + 0,075 mg"
11429,2016-10-01,,estradiol dispositif transdermique 75 µg / 24 h,estradiol pleister transdermaal 75 µg / 24 u
11445,2016-10-01,2017-06-12,estramustine injection/perfusion 300 mg,estramustine injectie/infusie 300 mg
11494,2016-10-01,,étamsylate injection/oral 250 mg / 2 ml,etamsylaat injectie/oraal 250 mg / 2 ml
11635,2016-10-01,,"éthinylestradiol + désogestrel oral 0,03 mg + 0,15 mg","ethinylestradiol + desogestrel oraal 0,03 mg + 0,15 mg"
11643,2016-10-01,,"éthinylestradiol + diénogest oral 0,03 mg + 2 mg","ethinylestradiol + diënogest oraal 0,03 mg + 2 mg"
11676,2016-10-01,,"éthinylestradiol + lévonorgestrel oral 0,03 mg + 0,15 mg","ethinylestradiol + levonorgestrel oraal 0,03 mg + 0,15 mg"
11692,,,,
11700,2016-10-01,,loflazépate d'éthyle oral 2 mg,ethylloflazepaat oraal 2 mg
11734,2016-10-01,,étiléfrine oral 5 mg,etilefrine oraal 5 mg
11742,2016-10-01,,"étiléfrine oral 7,5 mg / 1 ml","etilefrine oraal 7,5 mg / 1 ml"
11783,2016-10-01,,étonogestrel (implant) 68 mg,etonogestrel (implantaat) 68 mg
11791,2016-10-01,,étoposide perfusion 100 mg / 5 ml,etoposide infusie 100 mg / 5 ml
11809,2016-10-01,,étoposide oral 100 mg,etoposide oraal 100 mg
11817,2016-10-01,,étoposide perfusion 1 g / 50 ml,etoposide infusie 1 g / 50 ml
19927,,,,
11825,2016-10-01,,étoposide perfusion 200 mg / 10 ml,etoposide infusie 200 mg / 10 ml
11858,2016-10-01,,étoposide perfusion 500 mg / 25 ml,etoposide infusie 500 mg / 25 ml
11866,2016-10-01,,étoposide oral 50 mg,etoposide oraal 50 mg
11890,2016-10-01,,étoricoxib oral 60 mg,etoricoxib oraal 60 mg
11908,2016-10-01,,étoricoxib oral 90 mg,etoricoxib oraal 90 mg
11932,2016-10-01,,eucalyptol + lévomenthol inhalé 16 mg + 99 mg / 1 g,eucalyptol + levomenthol inhalatie 16 mg + 99 mg / 1 g
11965,2016-10-01,,"évérolimus oral 0,75 mg","everolimus oraal 0,75 mg"
12302,2016-10-01,,phénazopyridine oral 100 mg,fenazopyridine oraal 100 mg
12369,2016-10-01,,fénofibrate oral 267 mg,fenofibraat oraal 267 mg
24919,2016-10-01,,paracétamol + pseudoéphédrine oral 500 mg + 30 mg,paracetamol + pseudo-efedrine oraal 500 mg + 30 mg
13482,2016-10-01,,fluticasone nasal 50 µg / 1 dos.,fluticason nasaal 50 µg / 1 dos.
11593,2016-10-01,,"éthinylestradiol + lévonorgestrel oral 0,02 mg + 0,1 mg","ethinylestradiol + levonorgestrel oraal 0,02 mg + 0,1 mg"
11619,2016-10-01,2017-06-12,"éthinylestradiol + noréthistérone oral 0,035 mg + 1 mg","ethinylestradiol + norethisteron oraal 0,035 mg + 1 mg"
11627,2016-10-01,,"éthinylestradiol + chlormadinone oral 0,03 mg + 2 mg","ethinylestradiol + chloormadinon oraal 0,03 mg + 2 mg"
12062,2016-10-01,,ézétimibe + simvastatine oral 10 mg + 40 mg,ezetimibe + simvastatine oraal 10 mg + 40 mg
12153,2016-10-01,,facteur VIII injection 1 000 UI,factor VIII injectie 1 000 IE
12245,,,,
12260,2016-10-01,2017-09-03,felbinac gel transdermique local 30 mg / 1 g,felbinac gel transdermaal lokaal 30 mg / 1 g
12310,2016-10-01,,phénelzine oral 15 mg,fenelzine oraal 15 mg
12336,,,,
12419,2016-10-01,,"fénotérol + ipratropium inhalé 1,25 mg + 0,5 mg / 4 ml","fenoterol + ipratropium inhalatie 1,25 mg + 0,5 mg / 4 ml"
12450,2016-10-01,,"fentanyl injection/perfusion 0,1 mg / 2 ml","fentanyl injectie/infusie 0,1 mg / 2 ml"
12773,,,,
12682,2016-10-01,,fenticonazole vaginal 20 mg / 1 g,fenticonazol vaginaal 20 mg / 1 g
12948,2016-10-01,2018-11-29,flavoxate oral 200 mg,flavoxaat oraal 200 mg
12690,2016-10-01,,fenticonazole vaginal 600 mg,fenticonazol vaginaal 600 mg
12716,2016-10-01,2018-11-29,phényléphrine + diphénylpyraline oral 20 mg + 2 mg,fenylefrine + difenylpyraline oraal 20 mg + 2 mg
12724,2016-10-01,,phényléphrine + chlorphénamine oral 5 mg + 2 mg / 5 ml,fenylefrine + chloorfenamine oraal 5 mg + 2 mg / 5 ml
12765,,,,
12781,2016-10-01,,fésotérodine oral (libér. modifiée) 4 mg,fesoterodine oraal (gereg. afgifte) 4 mg
12799,2016-10-01,,fésotérodine oral (libér. modifiée) 8 mg,fesoterodine oraal (gereg. afgifte) 8 mg
12815,2016-10-01,,fexofénadine oral 180 mg,fexofenadine oraal 180 mg
12823,2016-10-01,,fibrinogène injection/perfusion 1 g,fibrinogeen injectie/infusie 1 g
12849,2016-10-01,,fidaxomicine oral 200 mg,fidaxomicine oraal 200 mg
12930,2016-10-01,,"flavivirus injection 0,5 ml","flavivirus injectie 0,5 ml"
12963,2016-10-01,,flécaïnide oral (libér. modifiée) 100 mg,flecaïnide oraal (gereg. afgifte) 100 mg
12997,2016-10-01,,flécaïnide oral (libér. modifiée) 200 mg,flecaïnide oraal (gereg. afgifte) 200 mg
13003,2016-10-01,2017-06-12,flucloxacilline injection/perfusion 1 g,flucloxacilline injectie/infusie 1 g
13029,2016-10-01,,flucloxacilline injection/perfusion 250 mg,flucloxacilline injectie/infusie 250 mg
13037,2016-10-01,,flucloxacilline injection/perfusion 500 mg,flucloxacilline injectie/infusie 500 mg
13060,2016-10-01,,fluconazole oral 150 mg,fluconazol oraal 150 mg
13078,2016-10-01,,fluconazole perfusion 200 mg / 100 ml,fluconazol infusie 200 mg / 100 ml
13094,2016-10-01,,fluconazole oral 200 mg,fluconazol oraal 200 mg
13110,2016-10-01,,fluconazole oral 50 mg / 5 ml,fluconazol oraal 50 mg / 5 ml
13235,2016-10-01,,fluorescéine injection 1 g / 5 ml,fluoresceïne injectie 1 g / 5 ml
24943,2016-10-01,,paracétamol rectal 600 mg,paracetamol rectaal 600 mg
25049,2016-10-01,,paroxétine oral 40 mg,paroxetine oraal 40 mg
29108,2016-10-01,,spironolactone + altizide oral 25 mg + 15 mg,spironolacton + altizide oraal 25 mg + 15 mg
30403,2016-10-01,,"thyrotropine alfa injection 0,9 mg","thyrotropine alfa injectie 0,9 mg"
33381,2016-10-01,,"mésalazine oral (libér. modifiée) 1,5 g","mesalazine oraal (gereg. afgifte) 1,5 g"
33563,2016-10-01,2018-06-29,"albiglutide injection 50 mg / 0,5 ml","albiglutide injectie 50 mg / 0,5 ml"
12468,2016-10-01,,"fentanyl injection/perfusion 0,5 mg / 10 ml","fentanyl injectie/infusie 0,5 mg / 10 ml"
15958,2016-10-01,,"hydromorphone oral 1,3 mg","hydromorfon oraal 1,3 mg"
13441,2016-10-01,,"fluticasone nasal 27,5 µg / 1 dos.","fluticason nasaal 27,5 µg / 1 dos."
13458,2016-10-01,,fluticasone inhalé 2 mg / 2 ml,fluticason inhalatie 2 mg / 2 ml
13508,2016-10-01,,fluticasone + vilantérol inhalé 92 µg + 22 µg / 1 dos.,fluticason + vilanterol inhalatie 92 µg + 22 µg / 1 dos.
13516,2016-10-01,,"fluticasone propionate pommade cutané 0,05 mg / 1 g","fluticason propionaat zalf cutaan 0,05 mg / 1 g"
13698,2016-10-01,,follitropine alfa injection 75 UI,follitropine alfa injectie 75 IE
13722,2016-10-01,,"follitropine bêta injection 600 UI / 0,72 ml","follitropine bèta injectie 600 IE / 0,72 ml"
13730,2016-10-01,,"follitropine bêta injection 900 UI / 1,08 ml","follitropine bèta injectie 900 IE / 1,08 ml"
13813,2016-10-01,2017-06-29,fosamprénavir oral 50 mg / 1 ml,fosamprenavir oraal 50 mg / 1 ml
13425,2016-10-01,,fluticasone inhalé 250 µg / 1 dos.,fluticason inhalatie 250 µg / 1 dos.
13334,2016-10-01,,flupentixol injection (libér. modifiée) 100 mg / 1 ml,flupentixol injectie (gereg. afgifte) 100 mg / 1 ml
13367,2016-10-01,,flurazépam oral 27 mg,flurazepam oraal 27 mg
13375,2016-10-01,,"flurbiprofène oropharyngé 8,75 mg","flurbiprofen orofaryngeaal 8,75 mg"
13417,2016-10-01,,fluticasone + formotérol inhalé 125 µg + 5 µg / 1 dos.,fluticason + formoterol inhalatie 125 µg + 5 µg / 1 dos.
13938,2016-10-01,,furosémide injection/perfusion 20 mg / 2 ml,furosemide injectie/infusie 20 mg / 2 ml
13383,2016-10-01,,fluspirilène injection 2 mg / 1 ml,fluspirileen injectie 2 mg / 1 ml
13391,2016-10-01,,flutamide oral 250 mg,flutamide oraal 250 mg
13466,2016-10-01,,fluticasone inhalé 500 µg / 1 dos.,fluticason inhalatie 500 µg / 1 dos.
13540,2016-10-01,,fluvastatine oral (libér. modifiée) 80 mg,fluvastatine oraal (gereg. afgifte) 80 mg
13557,2016-10-01,,fluvoxamine oral 100 mg,fluvoxamine oraal 100 mg
13581,2016-10-01,,acide folinique injection/perfusion 100 mg / 4 ml,folinezuur injectie/infusie 100 mg / 4 ml
13599,2016-10-01,,acide folinique oral 15 mg,folinezuur oraal 15 mg
13615,2016-10-01,,acide folinique injection/perfusion 350 mg / 14 ml,folinezuur injectie/infusie 350 mg / 14 ml
13631,2016-10-01,,acide folinique injection/perfusion 500 mg / 50 ml,folinezuur injectie/infusie 500 mg / 50 ml
13649,2016-10-01,,"acide folique + fer(II) oral 0,5 mg + 200 mg","foliumzuur + ijzer(II) oraal 0,5 mg + 200 mg"
13680,2016-10-01,,"follitropine alfa injection 450 UI / 0,75 ml","follitropine alfa injectie 450 IE / 0,75 ml"
13789,2016-10-01,,formotérol inhalé 6 µg / 1 dos.,formoterol inhalatie 6 µg / 1 dos.
13821,2016-10-01,,fosamprénavir oral 700 mg,fosamprenavir oraal 700 mg
13839,2016-10-01,,fosaprépitant perfusion 150 mg,fosaprepitant infusie 150 mg
13847,2016-10-01,,foscarnet perfusion 24 mg / 1 ml,foscarnet infusie 24 mg / 1 ml
13862,2016-10-01,,fosinopril oral 20 mg,fosinopril oraal 20 mg
13912,2016-10-01,,"frovatriptan oral 2,5 mg","frovatriptan oraal 2,5 mg"
13920,2016-10-01,,fulvestrant injection 250 mg / 5 ml,fulvestrant injectie 250 mg / 5 ml
13946,2016-10-01,,furosémide perfusion 250 mg / 25 ml,furosemide infusie 250 mg / 25 ml
25080,2016-10-01,,pazopanib oral 400 mg,pazopanib oraal 400 mg
32201,2016-10-01,,vinorelbine perfusion 10 mg / 1 ml,vinorelbine infusie 10 mg / 1 ml
13268,2016-10-01,,fluorométholone collyre ophtalmique 1 mg / 1 ml,fluorometholon druppels oculair 1 mg / 1 ml
13276,2016-10-01,,fluorouracil injection/perfusion 1 g / 20 ml,fluorouracil injectie/infusie 1 g / 20 ml
13342,2016-10-01,,flupentixol oral 1 mg,flupentixol oraal 1 mg
14787,2016-10-01,,"glycérol rectal 0,65 g","glycerol rectaal 0,65 g"
12880,2016-10-01,,"filgrastim injection/perfusion 48 MU / 0,5 ml","filgrastim injectie/infusie 48 ME / 0,5 ml"
14373,2016-10-01,,virus de la fièvre jaune injection,gelekoortsvirus injectie
14449,2016-10-01,,gemcitabine perfusion 1 g,gemcitabine infusie 1 g
20602,2016-10-01,,mésalazine oral 250 mg,mesalazine oraal 250 mg
13284,2016-10-01,2018-06-29,fluorouracil injection/perfusion 500 mg / 10 ml,fluorouracil injectie/infusie 500 mg / 10 ml
14019,2016-10-01,,acide fusidique crème cutané 20 mg / 1 g,fusidinezuur crème cutaan 20 mg / 1 g
14043,2016-10-01,,"phytoménadione oral 0,145 mg / 1 ml","fytomenadion oraal 0,145 mg / 1 ml"
14076,,,,
14084,,,,
14142,,,,
14175,,,,
14183,,,,
14209,2016-10-01,,galantamine oral (libér. modifiée) 16 mg,galantamine oraal (gereg. afgifte) 16 mg
14225,2016-10-01,,galantamine oral 4 mg / 1 ml,galantamine oraal 4 mg / 1 ml
