@actorNr,@from,Denomination,StreetName,StreetNum,Postcode,City,CountryCode,Language,LegalForm,Building,Phone,Postbox,AuthorisationNr,VatNr,Website
00880,1960-01-01,Maco Pharma Benelux,Rue de l'Echauffourée,1,7700,MOESKROEN,BE,FR,SPRL,,056/841245,,0880H,,
00881,1960-01-01,Anaquest,Noorderlaan,147,2030,Antwerpen,BE,NL,NV,Atlantic House,,,,,
00882,1960-01-01,Dideco,Hoge Wei,10,1930,Zaventem,BE,NL,NV,,056/358224,,,,
00884,1960-01-01,Vitalpharma,E.Van Ophemstraat,110,1180,Brussel,BE,NL,NV,,02/3704911,,,,
00885,1960-01-01,Dhomasco,Rodenbachstraat,148,9040,St.Amandsberg,BE,NL,PVBA,,,,,,
00886,1960-01-01,T'Kindt Papier,Rue F.Dubois,2,1310,La Hulpe,BE,FR,SA,,,1,,,
00887,1960-01-01,VWR International,Geldenaaksebaan,464,3001,Heverlee,BE,NL,BVBA,Researchpark Haasrode 2020,016/385011,,0887H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403.593.343')])",
00888,1960-01-01,Conforma-Labo,Dendermondsesteenweg,345,9070,Destelbergen,BE,NL,NV,,091/282000,,,,
00889,1960-01-01,"Difra,Instrumentation",Rue de L'Eglise,84,4840,WELKENRAEDT,BE,FR,SPRL,,087/881436,,,,
00891,1960-01-01,Vascumed,Ambachtenlaan,13H,3001,Heverlee,BE,NL,NV,,09/2219316,,,,
00892,1960-01-01,Vaassen J.P.(Eye Surgical Instruments),Postbus,55,8400,Oostende,BE,NL,,,,,,,
00893,1960-01-01,Td-Medical,Steenweg Op Gierle,339F,2300,Turnhout,BE,NL,BVBA,,014/427707,,,,
00894,1960-01-01,Prodivet Pharmaceuticals,Hagbenden,39C,4731,Eynatten,BE,FR,SA,,087/852025,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0423.519.816')])",
00895,1960-01-01,Genexport,Chee de Haecht,1311,1130,Bruxelles,BE,FR,SPRL,,02/2158913,,,,
00896,1960-01-01,Stiefel Lab.,Ambachtenlaan,13D,3001,Leuven,BE,NL,NV,,016/400755,,,,
00897,1960-01-01,Econophar,Arthur de Coninckstraat,13,3070,Kortenberg,BE,NL,BVBA,,02/2409350,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0432.322.862')])",
00898,1960-01-01,Tou Relax,Avenue G.J. Leclercq,9,1160,Bruxelles,BE,FR,,,,,,,
00899,1960-01-01,De Voorzorg,Walenstraat,77,3500,HASSELT,BE,NL,CVBA,,011/228923,,0899H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0401.364.224')])",
00900,1960-01-01,Van Pelt International,Vrijheid,230,2320,Hoogstraten,BE,NL,NV,,03/3144111,,,,
00903,1960-01-01,Diamed,Rue Jean Pauly,11,4432,Alleur,BE,FR,SA,,,,,,
00904,1960-01-01,Combipharma,Vrijheid,230,2320,Hoogstraten,BE,NL,NV,,,,,,
00905,1960-01-01,Medicare,Zwijnaardsesteenweg,435-437,9000,Gent,BE,NL,BVBA,,09/2210628,,,,
00906,1960-01-01,Lapperre,Stationsstraat,22,1702,Groot-Bijgaarden,BE,NL,NV,,02/4669100,,,,
00907,1960-01-01,Allo Pro,Avenue Reine Astrid,1,1440,Wauthier-Braine,BE,FR,SA,,02/3663510,,,,
00908,1960-01-01,Ipsen,Guldensporenpark,87,9820,MERELBEKE,BE,NL,NV,,09/2439600,,0908H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0422.650.477')])",
00909,1960-01-01,De Laet Maria (Medical Equipment Trade),Antwerpsestraat,232,2850,Boom,BE,NL,,,03/8880713,,,,
00910,1960-01-01,Ecolab,Havenlaan,4,3986,Tessenderlo,BE,NL,NV,,02/4675106,,0910H,,
00911,1960-01-01,Farmaropa,Avenue des Torterelles,7,1950,Kraainem,BE,FR,SA,,,,,,
00912,1960-01-01,Pharmagros,Rue Forestiere,2,4600,Vise,BE,FR,SPRL,,,,,,
00913,1960-01-01,Van Assche,Lindenlaan,2,1861,Wolvertem,BE,NL,BVBA,,02/2694738,,,,
00914,1960-01-01,Takeda Christiaens Comm. Va,Gentsesteenweg,615,1080,Brussel,BE,NL,,,02/4640611,,,,
00915,1960-01-01,Laborimpex,Bondgenotenstraat,78-80,1190,Brussel,BE,NL,BVBA,,02/3459994,,,,
00916,1960-01-01,Pharmalux Belgium,Rue du Panorama,11,6750,Musson,BE,FR,SA,,063/226203,,,,
00917,1960-01-01,Hegelbach Medical,Rue Counraets,77,1060,Bruxelles,BE,FR,SA,,02/5390769,,,,
00918,1960-01-01,Dimetec,Groenenborgerlaan,27,2610,Wilrijk,BE,NL,BVBA,,03/8271422,,,,
00919,1960-01-01,Rooman De Klerk,Rue de la Source,107,1060,Bruxelles,BE,FR/NL,,,,,,,
00920,1960-01-01,Teletronics,Rue Hector Genard,14,1070,Bruxelles,BE,FR,SA,,02/5232035,,,,
00921,1960-01-01,Labab,Avenue Meuree,52,6001,Marcinelle,BE,FR,SPRL,,071/363501,,,,
00922,1960-01-01,Merck Sharp & Dohme,Clos du Lynx,5,1200,Bruxelles,BE,FR,BV,,02/3734211,,0922H,,
00923,1960-01-01,Bristol-Myers Squibb Pharma Belgium,Ch.De La Hulpe,185,1170,Bruxelles,BE,FR,SPRL,,02/7242040,,,,
00924,1960-01-01,Cophardel (Comp.Pharm.Delvenne),Chee de Waremme,100,4530,Villers-Le-Bouillet,BE,FR,,,085/236907,,,,
00925,1960-01-01,Preux G.,Rue St. Pierre,2-4,7340,Wasmes,BE,FR,SA,,,,,,
00926,1960-01-01,Medicor Medical Supplies,A.Bayetlaan,51,1020,Brusseles,BE,NL,SA,,02/4781940,,,,
00927,1960-01-01,Giroulle J.E. (Omnifar),Gudrunlaan,16,2170,Merksem,BE,NL,,,,,,,
00928,1960-01-01,B.H.I.Dental,Postbus,103,1180,Brussel,BE,NL,NV,,02/3812370,,,,
00929,1960-01-01,Delta Pharmaceutica,Lode de Boningelaan,26,8500,Kortrijk,BE,NL,NV,,,,,,
00930,1960-01-01,Milupa,Hingenesteenweg,67,2880,Bornem,BE,NL,NV,,03/8902360,,,,
00932,1960-01-01,Mooss-Pharma /Dynafyt,Noordkaai,9,8870,Izegem,BE,NL,NV,,051/321840,,,,
00933,1960-01-01,Alcyon Belux Distribution Veterinaire,Rue Le Marais,17,4530,Villers-Le-Bouillet,BE,FR,,,041/383491,,,,
00934,1960-01-01,Exphar,Avenue Thomas Edison,105,1402,Thines,BE,FR,SA,,02/3444870,,0934H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0421.802.718')])",
00935,1960-01-01,Benzon Alfred,Lichterstraat,31,2870,Puurs,BE,NL,NV,,,,,,
00936,1960-01-01,Phacec,Chaussee de Boondael,537,1050,Bruxelles,BE,FR,SA,,,,,,
00937,1960-01-01,Van Houdt Etn,Brederodestraat,128,2000,Antwerpen,BE,NL,BVBA,,03/2379961,,,,
00938,1960-01-01,Sogefac,Chee D'Alsemberg,4,1060,Bruxelles,BE,FR,SA,,,,,,
00939,1960-01-01,Sandipro,Gentsesteenweg,615,1080,Brussel,BE,NL,NV,,02/4640799,,,,
00940,1960-01-01,Lambert Guy,Champ du Pihot,3,4671,Saive,BE,FR,,,,,,,
00941,1960-01-01,Medical Project International,Mechelsesteenweg,317,1800,Vilvoorde,BE,NL,,,,,,,
00942,1960-01-01,Nycomed Amersham,Gentsesteenweg,615,1080,Brussel,BE,NL,NV,,02/4640771,,,,
00943,1960-01-01,Solmed,Laaglandlei,18,2900,SCHOTEN,BE,NL,BVBA,,03/6463848,,,,
00945,1960-01-01,Auto Suture Belgium,Generaal de Wittelaan,9,2800,Mechelen,BE,NL,BV,,015/298111,5,,,
00946,1960-01-01,Lammers,Rue du Grand Bigard,507,1080,Bruxelles,BE,FR,,,02/4655000,,,,
00947,1960-01-01,Escapo,Antwerpse Steenweg,263,2800,Mechelen,BE,NL,CV,,015/286100,,0947H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0449707638')])",
00948,1960-01-01,A.C.A.,Louisastraat,40,2000,Antwerpen,BE,FR/NL,PVBA,,,,,,
00949,1960-01-01,Solska Melle,Boulevard Anspach,109,1000,Bruxelles,BE,FR/NL,,,,,,,
00950,1960-01-01,Adexil,Chaussée d'Alsemberg,1001,1180,Bruxelles,BE,FR,SA,,02/3861211,,,,
00952,1960-01-01,"Jehaes-Capitaine,Mme",Avenue Herbofin,13A,6800,Libramont,BE,FR,,,,,,,
00955,1960-01-01,Versele-Laga,Kapellestraat,70,9800,DEINZE,BE,NL,NV,,09/3813200,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0424 901 669')])",
00956,1960-01-01,De Laet Medical,Rue des Aunes,13,1421,Braine-L'Alleud,BE,FR,SA,,02/3870438,,,,
00960,1960-01-01,Vanda,Toevluchtweg,11,8620,Nieuwpoort,BE,NL,NV,,058/238272,,,,
00961,1960-01-01,Actual,Rue des Goujons,152,1070,Bruxelles,BE,FR,SA,,0@	Õ °-¢&°,,,,
00962,1960-01-01,Arits Mathijs,Geelseweg,11,2200,Herentals,BE,NL,NV,,014/233100,,,,
00963,1960-01-01,Delagrange,Avenue de Schiphol,2,1140,Bruxelles,BE,FR,SA,,02/7296911,,,,
00964,1960-01-01,Medical Jaeger Deckers,Bd du Souverain,123,1160,Bruxelles,BE,FR,SA,,,,,,
00965,1960-01-01,Buscain,Bd Dolez,43,7000,Mons,BE,FR,SPRL,,,,,,
00966,1960-01-01,Navez Michel,Rue Verte,32,6543,Lobbes,BE,FR,,,071/592713,,,,
00967,1960-01-01,Prochiphar,Chee de Tourinnes,9,4291,Lens-St.Servais,BE,FR,,,,,,,
00968,1960-01-01,Procter & Gamble D.C.E.,Temselaan,100,1853,Strombeek-Bever,BE,NL,BVBA,,02/456.40.42,,0968H,,
00969,1960-01-01,Koninklijke Ned.Gist-En Spiritusfabriek,Generaal Jacqueslaan,26,1050,Brussel,BE,NL,,,02/6486490,,,,
00971,1960-01-01,V.F. Medicals,Mgr. Van Wayenberglaan,36,3000,Leuven,BE,NL,NV,,016/222409,2,,,
00972,1960-01-01,Bouchara Lab.,Chee D'Alsemberg,1OO1,1180,Bruxelles,BE,FR,SA,,,,,,
00973,1960-01-01,Vitapharma,Rue de Birmingham,271,1070,Bruxelles 7,BE,FR/NL,,,,,,,
00974,1960-01-01,A.P.P.E.G.,Rue Station de la Sambre,6,6032,Mont-Sur-Marchienne,BE,FR,SA,,071/362929,,,,
00975,1960-01-01,Halab Allergy Service,A.Nysstraat,86,1070,Brussel,BE,NL,,,02/5278380,,,,
00976,1960-01-01,Daxispharma,Boulevard International,57,1070,ANDERLECHT,BE,FR,SA,,02/5294311,,976H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0420.720.276')])",
00977,1960-01-01,Ge Healthcare,Kouterveldstraat,20B,1831,Diegem,BE,NL,BVBA,,02/4548990,,,,
00978,1960-01-01,"Schrooyen Rene,Ets.",Avenue du Paepedelle,63,1160,Bruxelles,BE,FR,SPRL,,,,,,
00979,1960-01-01,Transmedica,Avenue Loius Bertrand,102,1030,Bruxelles,BE,FR,SPRL,,02/2156138,,,,
00980,1960-01-01,Molnlycke Health Care,Posthoflei,5-7,2600,Berchem,BE,NL,NV,,03/2868950,,,,
00981,1960-01-01,Glaxosmithkline Consumer Healthcare,Avenue Pascal,2-4-6,1300,WAVRE,BE,FR,SA,Site Apollo,02/6562034,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0404.195.238')])",
00982,1960-01-01,Heel Belgium,Booiebos,25,9031,Drongen,BE,NL,NV,,09/2659565,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0400.330.282')])",
00983,1960-01-01,Millipore,Rue de la Fusee,60,1130,Bruxelles,BE,FR,SA,,02/2421740,,,,
00984,1960-01-01,"Reval Ets/Mme Faniel,Epse Renda",Avenue Lacomble,26,1040,Bruxelles,BE,FR,SPRL,,,,,,
00987,1960-01-01,C.M.P.C. Importexco,Moorselbaan,316,9300,Aalst,BE,NL,,,,,,,
00988,1960-01-01,Dentor,Dynamicalaan,15,2610,Wilrijk,BE,NL,NV,,,,,,
00989,1960-01-01,"Eurogenerics Afgekort ""E.G.""",Heizel Esplanade S/N,22,1020,Laken,BE,NL,NV,,02/4797878,,0989H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0419 806 694')])",
00990,1960-01-01,Herbespharma,Sasstraat,25,9001,Gentbrugge,BE,NL,,,,,,,
00993,1960-01-01,"Rolland Pierre, Prod.Dent.",Rue E.Feron,70,1060,Bruxelles,BE,FR,NV,,,,,,
00994,1960-01-01,Braun Belgique,Avenue Jean Jaures,46,1030,Bruxelles,BE,FR,SA,,,,,,
00995,1960-01-01,Hewlett-Packard Belgium,Bd.De La Woluwe,100,1200,Bruxelles,BE,FR,SA,,02/7783536,,,,
01000,1960-01-01,Sarstedt,Douanecentrum E19 31,2,2321,Meer-Hoogstraten,BE,NL,BVBA,,03/5417692,,,,
01001,1960-01-01,De Kelper Lab.,Pastoor Cooremansstraat,3,1702,Groot-Bijgaarden,BE,NL,NV,,02/4652088,,,,
01002,1960-01-01,"Babel J.,Mevr. (Etn. Jibe)",Generaal Wahislaan,26,1030,Brussel,BE,NL,,,,,,,
01003,1960-01-01,Grunenthal,Lenneke Marelaan,8,1932,St.Stevens Woluwe,BE,NL,NV,,02/2905288,,1003H,,
01004,1960-01-01,Querton Braine,Avenue de L'Artisanat,1,1420,Braine L'Alleud,BE,FR,SA,,02/3844060,,,,
01005,1960-01-01,Codema,Schaapsdreef,27,8500,Kortrijk,BE,NL,NV,,056/219130,,,,
01006,1960-01-01,Johnson & Johnson Benelux,Eikelenbergstraat,20,1700,Dilbeek,BE,NL,BV,,02/4817400,,,,
01007,1960-01-01,Parmentier Lab.,Rue du Perron,7,6181,Gouy Lez Pieton,BE,FR,,,,,,,
01008,1960-01-01,Belgian Hospital Services,Van Peborglei,75,2640,Mortsel,BE,NL,BVBA,,03/8303431,,,,
01009,1960-01-01,Sipha,Rue des Cottilages,53,4500,Huy,BE,FR,SC,,,,,,
01010,1960-01-01,Vygon Sterile,Rue Jean Note,36-38,1070,Bruxelles,BE,FR,SA,,02/5200820,,,,
01011,1960-01-01,Rood C.N.,Place de Jamblinne de Meux,37,1040,Bruxelles,BE,FR,SA,,,,,,
01012,1960-01-01,Pfizer Hospital Products,Hoge Wei,8,1930,Zaventem,BE,NL,NV,,02/7220356,,,,
01013,1960-01-01,Ghyselen Etn.,Dam,71,8500,Kortrijk,BE,NL,NV,,,,,,
01014,1960-01-01,Pietercil Resta Foodbrokers,Vitseroelstraat,74,1740,Ternat,BE,NL,NV,,02/5822963,,,,
01015,1960-01-01,Sorin-Biomedica,Rue de la Grenouillette,2,1130,Bruxelles,BE,FR,SA,,02/2453790,,,,
01016,1960-01-01,Ostend Pharma,Archimedesstraat/Ind.Park Ii N,,8400,Oostende,BE,NL,NV,,059/506840,,,,
01017,1960-01-01,Van Beers Jean (Lab. Beha),Vijf Hoek,14,2800,Mechelen,BE,NL,,,,,,,
01018,1960-01-01,C.R.B.,Rue E.Wauters,7,1020,Bruxelles,BE,FR,SA,,,,,,
01019,1960-01-01,Besins Manufacturing Belgium,Groot Bijgaardenstraat,128,1620,DROGENBOS,BE,FR,SA,,02/3349570,,1019H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0401.981.955')])",
01020,1960-01-01,Distri Labo Media,Windekeveld,6,9400,Ninove,BE,NL,NV,,054/322770,,,,
01021,1960-01-01,Hartmann Paul,Avenue Paul Hartmann,1,1480,Tubize,BE,FR,SA,,02/3662200,,,,
01023,1960-01-01,Marechal Ets,Rue du Droixhe,46,4020,Liege,BE,FR,SPRL,,,,,,
01024,1960-01-01,P.C.B.,Rue des Deportes,60,6700,Arlon,BE,FR,SA,,,,,,
01025,1960-01-01,"Ladavid,Produits Dentaires",Rue Franz Merjay,9,1060,Bruxelles,BE,FR,,,,,,,
01026,1960-01-01,Orbi-Pharma International,Neerveldstraat,3,1200,Brussel,BE,NL,BVBA,,03/8806360,,1026H,,
01027,1960-01-01,Vanhee Products,Ten Brielensestwg,33,8940,Wervik,BE,NL,PVBA,,,,,,
01028,1960-01-01,Janssen-Cilag,Antwerpseweg,15-17,2340,Beerse,BE,NL,NV,,03/2805411,,1028H,,
01030,1960-01-01,VMD,Hoge Mauw,900,2370,Arendonk,BE,NL,NV,,014/672051,,,,
01031,1960-01-01,Marlyco,Hasseltweg,193,3600,Genk,BE,NL,PVBA,,,,,,
01032,1960-01-01,Tornil,Industrielaan,12,9320,Erembodegem,BE,NL,NV,,053/780220,,,,
01033,1960-01-01,Septodont,Avenue de la Constitution,87,1080,Bruxelles,BE,FR,SA/NV,,02/4256037,,1033H,,
01034,1960-01-01,Tilman,Zoning Industriel Sud,15,5377,Baillonville,BE,FR,SA,,084/320360,,1034H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0458.493.759')])",
01035,1960-01-01,De Reiger,Stationsstraat,47,8470,Gistel,BE,NL,BVBA,,052/211057,,,,
01036,1960-01-01,Deflandre M.Ets.,Place Albert 1Er,12-14,6141,Forchies La Marche,BE,FR,SA,,,,,,
01037,1960-01-01,Medikit,Chemin des Genets,2,5100,Wepion,BE,FR,SA,,0@	Õ °-¢&°,,,,
01038,1960-01-01,Medical Services,Rue Delahaut,37-39,5001,Belgrade,BE,FR,SPRL,,081/220378,,,,
01039,1960-01-01,Dentalmat,Rue Theophile Roosevelt,29,1040,Bruxelles,BE,FR,,,,,,,
01040,1960-01-01,M-Tech Europe,Avenue Louise,306-310,1050,Bruxelles,BE,FR,SA,,0@	Õ °-¢&°,,,,
01041,1960-01-01,L.H.F.-Benelux,Fotografielaan,18,2610,Wilrijk,BE,NL,NV,,03/8280016,,,,
01042,1960-01-01,"Deloof J.M.,Instr.Et Appar.Medicaux",Square Frans Hals,2,1070,Bruxelles,BE,FR,,,0@	Õ °-¢&°,13,,,
01043,1960-01-01,Vetraco,Royerplein,19,3694,Gruitrode,BE,NL,PVBA,,,,,,
01044,1960-01-01,Derco,Rue des Rabots,16,1460,Ittre,BE,FR,SA,,,,,,
01045,1960-01-01,Vereniging Van Openbare Verzorgingsinst.,Gildenstraat,9-11,1040,Brussel,BE,NL,,,,,,,
01046,1960-01-01,Codifar,Lt.Caluwaertstraat,1,2160,Wommelgem,BE,NL,NV,,03/3537126,,,,
01047,1960-01-01,Rorer Benelux,Avenue de La Sauvagine,5A,1170,Bruxelles,BE,FR,SA,,,83,,,
01048,1960-01-01,Beecham Products,Rue de L'Intendant,65,1210,Bruxelles,BE,FR,SA,,,,,,
01049,1960-01-01,Wuyts Lode,De Merodelei,287,2300,Turnhout,BE,NL,,,,,,,
01050,1960-01-01,Delta Medical,Rue Francois Dubois,2,1332,La Hulpe,BE,FR,SA,,,,,,
01051,1960-01-01,Firet,Dendermondestraat,51,1080,Brussel,BE,NL,NV,,,,,,
01052,1960-01-01,Vermaklin,Moeremanslaan,29,1700,Dilbeek,BE,NL,NV,,,,,,
01053,1960-01-01,Mederipharma,Generaal Wahislaan,35,1030,Brussel,BE,NL,PVBA,,0@	Õ °-¢&°,,,,
01054,1960-01-01,Micro Diagnostics,Groenstraat,60,2870,Puurs,BE,NL,PVBA,,03/8893640,,,,
01055,1960-01-01,Niemegeers Etn,Ieperlaan,8,1000,Brussel,BE,FR/NL,,,,,,,
01056,1960-01-01,Rolies Mevr.,Diepestraat,10,2000,Antwerpen,BE,NL,,,,,,,
01057,1960-01-01,Min.Defence Elements Techniques Medicaux,Quart.Aviat.Dony-R.Du Progres,1B,1400,Nivelles,BE,FR,,,,,1057H,,
01058,1960-01-01,Nattermann Pharmac. Heineking & Co,Hazelaarslaan,7,1170,Brussel,BE,NL,VGN,,,,,,
01059,1960-01-01,Medico Pharmaceutische Centrale,Antwerpsesteenweg,859,9041,Gent,BE,NL,NV,,,,,,
01060,1960-01-01,Barthels,Kuringerstraat,420-422,3511,Hasselt,BE,NL,BVBA,,011/872460,,,,
01062,1960-01-01,Planta Medica,Rue du Clypot,1,7063,Neufvilles,BE,FR,,,,,,,
01063,1960-01-01,Mediffusion,Bd Kleyer,172,4000,Liege,BE,FR,SPRL,,,,,,
01064,1960-01-01,Baxter Travenol,Rue Colonel Bourg,105B,1040,Bruxelles,BE,FR,SA,,,,,,
01065,1960-01-01,Toubeau-Opharve L.,Rue de la Gare,17,4317,Faimes-Les-Waleffes,BE,FR,Ets,,019/567060,,,,
01066,1960-01-01,Lubri-Asept,Rue du Prince,10,4800,Verviers,BE,FR,SC,,087/336449,,,,
01067,1960-01-01,Biothera,Rue E.Van Ophem,110,1180,Bruxelles,BE,FR,SA,,02/3704825,,,,
01069,1960-01-01,Fournier Pharma,Rue des Trois Arbres,16B,1180,Bruxelles,BE,FR,SA,,3704715,,,,
01070,1960-01-01,Terumo Corporation Brussels Branch,Interleuvenlaan,40,3001,Leuven,BE,NL,,,016/239911,,,,
01071,1960-01-01,Mottint Guy,Avenue Messidor,97,1180,Bruxelles,BE,FR,,,0@	Õ °-¢&°,,,,
01072,1960-01-01,Au Dispensaire,Rue de Marcinelle,11,6000,Charleroi,BE,FR,SPRL,,,,,,
01073,1960-01-01,Fall,Tongerse Steenweg,32,3800,Sint Truiden,BE,NL,NV,,011/672950,,,,
01074,1960-01-01,Mecomfa International,L.Heirbautstraat,7,1080,Brussel,BE,NL,,,02/4682750,,,,
01075,1960-01-01,A.I.M.,Rue Porte Haute,12,6900,Marche-En-Famenne,BE,FR,,,,,,,
01076,1960-01-01,Alpura,Rue Chemin Prive,3,5150,Floreffe,BE,FR,SA,,,,,,
01077,1960-01-01,Delalande Lab.,Rue du Meridien,22,1030,Bruxelles,BE,FR,SA,,,,,,
01078,1960-01-01,"Nonneman Winnifrieda , Instrrumed",Ankerstraat,1041,9100,St.Niklaas,BE,NL,,,0@	Õ °-¢&°,,,,
01080,1960-01-01,Mercenier Ets,Rue de la Crete,26,7880,Flobecq,BE,FR,SA,,,,,,
01081,1960-01-01,Kloeck R. Lab.,Bosmanslei,21,2000,Antwerpen,BE,NL,,,,,,,
01082,1960-01-01,Lameris Medische Apparaten,Ingbertchoeveweg,3,2630,Aartselaar,BE,NL,NV,,03/4577404,C-D,,,
01083,1960-01-01,Iatreia Lab.,Avenue Montagne Aux Anges,16,1080,Bruxelles,BE,FR,SPRL,,,,,,
01084,1960-01-01,"Smal A. ,Lab.",Rue du Centre,2,4987,Lorce,BE,FR,SPRL,,,,,,
01085,1960-01-01,Interphar,Ambachtenlaan,13B,3001,Leuven,BE,NL,NV,,016/237856,,,,
01086,1960-01-01,Cosmephar,Rue Reigersvliet,20,1040,Bruxelles,BE,FR,SPRL,,,,,,
01087,1960-01-01,Jessel Laboratoires,Rue De L'Industrie,11,1420,Braine-L'Alleud,BE,FR,SPRL,Parc Industriel,,,,,
01088,1960-01-01,A.P.L. Equipment,Scheutlaan,50,1070,Brussel,BE,NL,,,,,,,
01089,1960-01-01,Keyeux R.G.,Rue de L'Etang,8,1315,Opprebais,BE,FR,SPRL,,,,,,
02635,1960-01-01,Adare Pharmaceuticals,Route de Bü,,78550,Houdan,FR,FR,SAS,,,,,,
01866,1960-01-01,Belipharm,Herestraat 13,,3000,LEUVEN,BE,NL,BVBA,,016/25.3.772,,1866H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0884.446.592')])",
03716,1960-01-01,Diagnostic Green,Otto-Hahn-Strasse 20,,85609,Aschheim-Dornach,DE,DE,GmbH,,,,,,
01868,1960-01-01,Global Stem Cell Technology (GST),Noorwegenstraat 4,,9940,Evergem,BE,NL,NV,,09/2571520,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0842.800.336')])",
04561,1960-01-01,BioMarin International,"Shanbally, Ringaskiddy",,/,County Cork,IE,EN,Ltd,,,,,,
01848,1960-01-01,Minakem High Potent,Fonds Jean Pâques 8,,1435,MONT-SAINT-GUIBERT,BE,FR,SA,,010/483258,,1848H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0630.942.834')])",
05765,1960-01-01,Conventia Medical LLP,"Market Place, Tring,",,HP23 5AE,Hertfordshire,UK,EN,,"First Floor, St Peter’s House,",,,,,
05766,1960-01-01,Soho Flordis UK,1 Botanic Court,,WN5 0JZ,Wigan,UK,EN,Ltd,Martland Park,,,,,
01090,1960-01-01,Abello Benelux,Avenue Jupiter,57,1190,Bruxelles,BE,FR,SA,,,,,,
01091,1960-01-01,Vuylsteke Stefaan,Stationsstraat,59,8880,Ledegem,BE,NL,,,056/509062,,,,
01092,1960-01-01,Sopar-Tech,Rue de la Thyle,29,1495,Sart-Dames-Avelines,BE,FR,SA,,,,,,
01093,1960-01-01,Stayne Products,Parc Industriel,,6040,Jumet,BE,FR,SA,,,,,,
01094,1960-01-01,Nordic Pharmaceuticals,Postbus,62,2300,Turnhout,BE,NL,,,,,,,
01095,1960-01-01,Dimequip,Route de Bavay,,7080,Frameries,BE,FR,,,065/673754,,,,
01097,1960-01-01,Meditex,Rue de L'Yser,40-42,7500,Tournai,BE,FR,,,,,,,
01098,1960-01-01,Berger Raymond,Rue de Witte,54,1050,Bruxelles,BE,FR/NL,,,,,,,
01099,1960-01-01,Ceva Sante Animale,Metrologielaan,6,1130,Haren,BE,NL,NV,,02/2441296,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0418.894.795')])",
01100,1960-01-01,Kremer Etn.,G.Latinislaan,135,1030,Brussel,BE,NL,,,,,,,
01101,1960-01-01,Applications Chimiques et Phytothérapeutiques (A.C.P.),Rue du cours d'Eau,10,1428,Lillois,BE,FR,SCRL,,02/3848711,,,,
01102,1960-01-01,Blendax Belgium,Rue Ph.Le Bon,1-3,1040,Bruxelles,BE,FR,SA,,02/2418934,,,,
01103,1960-01-01,Vreven M.,Kapellestraat,18,3500,Hasselt,BE,NL,,,,,,,
01104,1960-01-01,Delmedica (Delsaer),Boshoekstraat,45,3668,As,BE,NL,,,089/658250,,,,
01105,1960-01-01,Laboratoires Sopreli,Rue de la Pastorale,57,1070,Bruxelles,BE,FR,SPRL,,02/4113904,,1105H,,
01106,1960-01-01,Continental Belro,Louisalaan,135,1050,Brussel,BE,NL,NV,,,,,,
01107,1960-01-01,Sodimed,Rue Sainry,85,4870,Trooz,BE,FR,SPRL,,1015,,,,
01108,1960-01-01,Medical Universal,Place des Franchises,9,4000,Liege,BE,FR,SA,,0@	Õ °-¢&°,,,,
01109,1960-01-01,Vander Auwera M. (Horphabel),Rue E. Vandervelde,75,1200,Bruxelles,BE,FR/NL,,,,,,,
01110,1960-01-01,Hospital & Medical Supplies,Bd Paepsem,11B,1070,Bruxelles,BE,FR,SPRL,,02/3323430,,,,
01111,1960-01-01,Eurolabor,Chee de Bruxelles,75,1400,Nivelles,BE,FR,SPRL,,,,,,
01112,1960-01-01,D.S.A.,Industrieterrein Berendonk,74,2370,Arendonk,BE,NL,PVBA,,,,,,
01114,1960-01-01,"Sterop Overseas , Lab.",Scheutlaan,46-50,1070,Brussel,BE,NL,,,02/5243966,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0419.184.411')])",
01116,1960-01-01,Galephar,Chee de Ninove,515,1080,Bruxelles,BE,FR,SA,,02/4114828,,,,
01117,1960-01-01,Wery Marcel,Rue E. Vandervelde,40,6180,Courcelles,BE,FR,,,,,,,
01118,1960-01-01,Alfatec-Medicor,Avenue A.Bayet,53,1000,Bruxelles,BE,FR,SA,,02/2120600,,,,
01119,1960-01-01,Crown Graphic (Europe),Skaldenstraat,121,9042,Gent,BE,NL,NV,,09/2281046,C4,,,
01120,1960-01-01,Chevita,Royerplein,19,3694,Meeuwen-Gruitrode,BE,NL,PVBA,,,,,,
